,name,city,country,latitude,longitude,starbucks,starbucks_lat,starbucks_lon,airport,air_lat,air_lon
29,Jaxtr,Menlo Park,USA,37.451026,-122.18676,Starbucks,37.452214,-122.183867,San Francisco International Airport,37.6213129,-122.3789554
30,Curse,San Francisco,USA,37.787092,-122.399972,Starbucks,37.787764,-122.401087,San Francisco International Airport,37.6213129,-122.3789554
31,Vuze,San Mateo,USA,37.4858654,-122.2262606,Starbucks Reserve,37.486332,-122.229944,San Francisco International Airport,37.6213129,-122.3789554
32,NowPublic,Vancouver,CAN,49.283376,-123.103986,Starbucks,49.2844427,-123.108513,Vancouver International Airport,49.1966913,-123.1815123
33,Retrevo,Sunnyvale,USA,37.368594,-122.034021,Starbucks,37.3686003,-122.0356701,Norman Y. Mineta San Jose International Airport,37.3639472,-121.9289375
34,Tangler,Mountain View,USA,37.386665,-122.084171,Starbucks,37.387571,-122.083068,Norman Y. Mineta San Jose International Airport,37.3639472,-121.9289375
35,Revver,Los Angeles,USA,34.052187,-118.243425,Starbucks,34.050984,-118.242338,Los Angeles International Airport,33.9415889,-118.40853
36,Flock,Menlo Park,USA,37.491356,-122.228843,Starbucks,37.490422,-122.225101,San Francisco International Airport,37.6213129,-122.3789554
37,Dropbox,San Francisco,USA,37.7909427,-122.4084994,Starbucks,37.789348,-122.406831,San Francisco International Airport,37.6213129,-122.3789554
38,Kongregate,San Francisco,USA,37.786942,-122.401245,Starbucks,37.787764,-122.401087,San Francisco International Airport,37.6213129,-122.3789554
39,DanceJam,San Francisco,USA,37.781557,-122.407959,Starbucks,37.7841086,-122.4076337,San Francisco International Airport,37.6213129,-122.3789554
40,Yola,San Francisco,USA,37.7911148,-122.3954751,Starbucks Reserve,37.791511,-122.395103,San Francisco International Airport,37.6213129,-122.3789554
41,Filtrbox,Palo Alto,USA,40.010492,-105.276843,Starbucks,40.010728,-105.276648,Rocky Mountain Metropolitan Airport,39.90963780000001,-105.108089
42,BitTorrent,San Francisco,USA,37.790998,-122.394668,Starbucks Reserve,37.791511,-122.395103,San Francisco International Airport,37.6213129,-122.3789554
43,Doostang,Palo Alto,USA,37.427235,-122.145783,Starbucks,37.426867,-122.144091,Norman Y. Mineta San Jose International Airport,37.3639472,-121.9289375
44,Vlingo,Cambridge,USA,42.372912,-71.118999,Starbucks Reserve,42.373333,-71.119214,Boston Logan International Airport,42.3656132,-71.0095602
45,Docstoc,Santa Monica,USA,34.018275,-118.495025,Starbucks,34.0157416,-118.4965857,Los Angeles International Airport,33.9415889,-118.40853
46,Shock Treatment Management,Seattle,USA,47.610332,-122.339859,Starbucks,47.6090095,-122.3399417,Seattle-Tacoma International Airport,47.4502499,-122.3088165
47,DotBlu,San Francisco,USA,37.09024,-95.712891,United States,37.09024,-95.712891,Coffeyville Municipal Airport,37.0941308,-95.5716456
48,sezmi,Santa Monica,USA,34.017373,-118.453218,Starbucks,34.019731,-118.454721,Los Angeles International Airport,33.9415889,-118.40853
49,SpiralFrog,New York,USA,37.09024,-95.712891,United States,37.09024,-95.712891,Coffeyville Municipal Airport,37.0941308,-95.5716456
50,MocoSpace,Boston,USA,42.350274,-71.058768,Starbucks,42.35223999999999,-71.05597,Boston Logan International Airport,42.3656132,-71.0095602
51,Thumbplay,New York,USA,40.725435,-73.997395,Starbucks,40.727212,-73.995485,John F. Kennedy International Airport,40.6413111,-73.77813909999999
52,Wonga,London,GBR,51.5192042,-0.1626103,Starbucks,51.5223174,-0.1635591,Heathrow Airport,51.4700223,-0.4542955
53,SayNow,Palo Alto,USA,37.42746,-122.143915,Starbucks,37.426867,-122.144091,Norman Y. Mineta San Jose International Airport,37.3639472,-121.9289375
54,Crunchyroll,San Francisco,USA,37.781265,-122.393229,Starbucks,37.77867,-122.396701,San Francisco International Airport,37.6213129,-122.3789554
55,OMGPOP,New York,USA,40.723384,-74.001704,Starbucks,40.722553,-73.997942,John F. Kennedy International Airport,40.6413111,-73.77813909999999
56,Behance,New York,USA,40.74406,-74.004592,Starbucks,40.741128,-74.0013013,John F. Kennedy International Airport,40.6413111,-73.77813909999999
57,FlowPlay,Seattle,USA,47.6015315,-122.335943,Starbucks,47.601606,-122.333974,Seattle-Tacoma International Airport,47.4502499,-122.3088165
58,Viewpoints,Chicago,USA,41.890376,-87.63406,Starbucks,41.888639,-87.63452,Chicago Midway International Airport,41.78677589999999,-87.7521884
59,RatePoint,Needham,USA,42.296111,-71.238524,Starbucks,42.29325100000001,-71.235089,Boston Logan International Airport,42.3656132,-71.0095602
60,mig33,Singapore,SGP,37.580304,-122.343679,Starbucks,37.579393,-122.346144,San Francisco International Airport,37.6213129,-122.3789554
61,GamerDNA,Cambridge,USA,42.375392,-71.118487,Starbucks Reserve,42.373333,-71.119214,Boston Logan International Airport,42.3656132,-71.0095602
62,SpeedDate,San Mateo,USA,37.557637,-122.285714,Starbucks,37.5590258,-122.2830814,San Francisco International Airport,37.6213129,-122.3789554
63,Animoto,New York,USA,40.72948,-74.000195,Starbucks,40.730715,-74.002585,John F. Kennedy International Airport,40.6413111,-73.77813909999999
64,Metaplace,Solana Beach,USA,33.020832,-117.077311,Starbucks,33.017974,-117.07371,McClellan-Palomar Airport,33.1268216,-117.2792408
65,Xobni,San Francisco,USA,37.789634,-122.404052,Starbucks,37.7884614,-122.4034092,San Francisco International Airport,37.6213129,-122.3789554
66,Worklight,New York,USA,40.756799,-73.976348,Starbucks,40.757077,-73.97596899999999,John F. Kennedy International Airport,40.6413111,-73.77813909999999
67,Mobivox,Montreal,CAN,45.500277,-73.560084,Starbucks,45.5007393,-73.55924,Montréal-Pierre Elliott Trudeau International Airport,45.46568509999999,-73.7454814
68,3Jam,San Francisco,USA,37.765125,-122.4044034,Starbucks,37.7658845,-122.4034908,San Francisco International Airport,37.6213129,-122.3789554
