,name,city,country,latitude,longitude,starbucks,starbucks_lat,starbucks_lon,airport,air_lat,air_lon,daycare,daycare_lat,daycare_lon
123,Streetline,San Francisco,USA,37.782085,-122.409747,Starbucks,37.7841086,-122.4076337,San Francisco International Airport,37.6213129,-122.3789554,Kids by the Bay - Civic Center,37.77938520000001,-122.4119508
124,Zendesk,San Francisco,USA,55.676294,12.568116,Starbucks,55.6767348,12.5689913,Copenhagen Airport,55.6180236,12.6507628,Ditte's private day care,55.6760968,12.5683372
125,muzu tv,New York,USA,40.757716,-73.972321,Starbucks,40.756836,-73.97283,John F. Kennedy International Airport,40.6413111,-73.77813909999999,Bright Horizons at Lexington,40.7572872,-73.9712797
126,BlogHer,Belmont,USA,37.491356,-122.228843,Starbucks,37.490422,-122.225101,San Francisco International Airport,37.6213129,-122.3789554,Bright Horizons at Redwood City,37.4902792,-122.2313807
127,Lexy,San Francisco,USA,37.786906,-122.397672,Starbucks,37.784833,-122.39996,San Francisco International Airport,37.6213129,-122.3789554,Bright Horizons at 2nd Street,37.7848078,-122.3948994
128,CarbonFlow,Sydney,AUS,-33.867139,151.207114,Starbucks,-33.8652185,151.2054493,Sydney Airport,-33.9399228,151.1752764,Kids Club Child Care Clarence Centre,-33.8660423,151.2046213
129,Huddler,San Francisco,USA,37.7893215,-122.4013624,Starbucks,37.788673,-122.400874,San Francisco International Airport,37.6213129,-122.3789554,American Child Care Services,37.78939560000001,-122.3997317
130,Prezi,Budapest,HUN,47.490346,19.059078,Starbucks Egyetem tér,47.490961,19.059113,Budapest Airport,47.4384587,19.2522958,Eötvös Loránd University,47.4905698,19.0585445
131,Zorap,San Francisco,USA,37.775196,-122.419204,Starbucks,37.7770595,-122.417347,San Francisco International Airport,37.6213129,-122.3789554,Marin Day Schools Market Street,37.7772044,-122.4173489
132,Hunch,New York,USA,40.741179,-73.993182,Starbucks,40.741873,-73.993326,John F. Kennedy International Airport,40.6413111,-73.77813909999999,Metrokids Preschool- Chelsea,40.7394466,-73.9950692
133,ELDR Media,Corte Madera,USA,37.9260091,-122.5162892,Starbucks,37.927706,-122.517131,San Rafael Airport,38.017187,-122.5215482,Cuddletime Day Care,37.928061,-122.519164
134,Occipital,Boulder,USA,40.018145,-105.278109,Starbucks,40.018733,-105.276647,Rocky Mountain Metropolitan Airport,39.90963780000001,-105.108089,Children's Alley,40.021276,-105.278092
135,Atigeo,Bellevue,USA,47.6174533,-122.2016685,Starbucks,47.6170443,-122.2021678,Seattle-Tacoma International Airport,47.4502499,-122.3088165,Bright Horizons at Bellevue,47.6144859,-122.2000619
136,Lyft,San Francisco,USA,37.7899027,-122.4007846,Starbucks,37.7896675,-122.4019931,San Francisco International Airport,37.6213129,-122.3789554,American Child Care Services,37.78939560000001,-122.3997317
137,Jumptap,Boston,USA,42.368633,-71.075305,Starbucks,42.367459,-71.076111,Boston Logan International Airport,42.3656132,-71.0095602,Whitehead Institute at Bright Horizons One Rogers Street,42.3664219,-71.0773064
138,Jumptap,New York City,USA,40.751478,-73.980305,Starbucks,40.7520837,-73.9811661,John F. Kennedy International Airport,40.6413111,-73.77813909999999,Park Avenue KinderCare,40.7504994,-73.97941
139,Lolapps,San Francisco,USA,37.7870923,-122.3999719,Starbucks,37.787764,-122.401087,San Francisco International Airport,37.6213129,-122.3789554,American Child Care Services,37.78939560000001,-122.3997317
140,Hangout Industries,Boston,USA,42.352835,-71.0609612,Starbucks,42.3532457,-71.057698,Boston Logan International Airport,42.3656132,-71.0095602,Child Care Choices of Boston,42.35305049999999,-71.061089
141,Pixelpipe,San Francisco,USA,37.764395,-122.401024,Starbucks,37.7658845,-122.4034908,San Francisco International Airport,37.6213129,-122.3789554,Bright Horizons at Kansas Street,37.7666032,-122.403834
142,ELDR Media,Corte Madera,USA,37.9260091,-122.5162892,Starbucks,37.927706,-122.517131,San Rafael Airport,38.017187,-122.5215482,Cuddletime Day Care,37.928061,-122.519164
